Cement,Slag,FlyAsh,Water,SP,CoarseAgg,FineAgg,Age,Strength,WC_Ratio
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,79.99,0.3
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,61.89,0.3
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,0.6857142857142857
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,0.6857142857142857
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,0.9667673716012085
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,47.03,0.8571428571428571
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,0.6
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,36.45,0.6
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,0.8571428571428571
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,39.29,0.48
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.07,0.9667673716012085
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,28.02,0.9667673716012085
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01,0.5333333333333333
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,42.33,1.2
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,47.81,0.75
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,52.91,0.6
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,39.36,1.3753581661891119
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14,0.6666666666666666
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,40.56,0.6
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62,0.48
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,0.5333333333333333
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,28.24,1.3753581661891119
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.06,1.3753581661891119
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21,1.3753581661891119
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52,0.6
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,0.6
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,0.6
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,0.6666666666666666
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,37.43,0.5333333333333333
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,38.6,0.48
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,0.75
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,0.8571428571428571
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72,0.9667673716012085
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,0.48
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69,1.2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,0.96
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,30.08,0.96
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,37.72,0.6857142857142857
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,42.23,0.48
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,0.96
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,50.46,0.6666666666666666
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7,0.5333333333333333
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0,0.96
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,0.6
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,41.54,0.5333333333333333
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,35.08,0.5333333333333333
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,15.05,0.5501432664756447
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,0.6
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,0.96
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,32.82,0.6
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78,0.6857142857142857
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93,1.2
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,33.12,0.96
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,49.19,0.75
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,14.59,1.3753581661891119
198.6,132.4,0.0,192.0,0.0,978.4,825.5,7,14.64,0.9667673716012085
475.0,0.0,0.0,228.0,0.0,932.0,594.0,365,41.93,0.48
198.6,132.4,0.0,192.0,0.0,978.4,825.5,3,9.13,0.9667673716012085
304.0,76.0,0.0,228.0,0.0,932.0,670.0,180,50.95,0.75
332.5,142.5,0.0,228.0,0.0,932.0,594.0,28,33.02,0.6857142857142857
304.0,76.0,0.0,228.0,0.0,932.0,670.0,270,54.38,0.75
266.0,114.0,0.0,228.0,0.0,932.0,670.0,270,51.73,0.8571428571428571
310.0,0.0,0.0,192.0,0.0,971.0,850.6,3,9.87,0.6193548387096774
190.0,190.0,0.0,228.0,0.0,932.0,670.0,270,50.66,1.2
266.0,114.0,0.0,228.0,0.0,932.0,670.0,180,48.7,0.8571428571428571
342.0,38.0,0.0,228.0,0.0,932.0,670.0,270,55.06,0.6666666666666666
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,360,44.7,1.3753581661891119
332.5,142.5,0.0,228.0,0.0,932.0,594.0,7,30.28,0.6857142857142857
190.0,190.0,0.0,228.0,0.0,932.0,670.0,28,40.86,1.2
485.0,0.0,0.0,146.0,0.0,1120.0,800.0,28,71.99,0.30103092783505153
374.0,189.2,0.0,170.1,10.1,926.1,756.7,3,34.4,0.4548128342245989
313.3,262.2,0.0,175.5,8.6,1046.9,611.8,3,28.8,0.5601659751037344
425.0,106.3,0.0,153.5,16.5,852.1,887.1,3,33.4,0.3611764705882353
425.0,106.3,0.0,151.4,18.6,936.0,803.7,3,36.3,0.3562352941176471
375.0,93.8,0.0,126.6,23.4,852.1,992.6,3,29.0,0.3376
475.0,118.8,0.0,181.1,8.9,852.1,781.5,3,37.8,0.3812631578947368
469.0,117.2,0.0,137.8,32.2,852.1,840.5,3,40.2,0.293816631130064
388.6,97.1,0.0,157.9,12.1,852.1,925.7,3,28.1,0.40633041688111166
531.3,0.0,0.0,141.8,28.2,852.1,893.7,3,41.3,0.26689252776209305
318.8,212.5,0.0,155.7,14.3,852.1,880.4,3,25.2,0.4883939774153073
401.8,94.7,0.0,147.4,11.4,946.8,852.1,3,41.1,0.3668491786958686
362.6,189.0,0.0,164.9,11.6,944.7,755.8,3,35.3,0.4547710976282405
323.7,282.8,0.0,183.8,10.3,942.7,659.9,3,28.3,0.5678097003398209
379.5,151.2,0.0,153.9,15.9,1134.3,605.0,3,28.6,0.40553359683794465
286.3,200.9,0.0,144.7,11.2,1004.6,803.7,3,24.4,0.505413901501921
