Cement,Slag,FlyAsh,Water,SP,CoarseAgg,FineAgg,Age,Strength,WC_Ratio,Strength_Class
540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,64.50958003864815,0.3,High
540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,63.60694513792272,0.3,High
332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,40.27,0.685714286,Medium
332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,41.05,0.685714286,Medium
198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,44.3,0.966767372,Medium
266.0,114.0,0.0,228.0,0.0,932.0,670.0,90,44.456748395242485,0.857142857,High
380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,43.7,0.6,Medium
380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,37.080377216358144,0.6,Medium
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,34.457897413173335,0.857142857,Medium
475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,40.62519654461685,0.48,Medium
198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,38.734928020007715,0.966767372,Medium
198.6,132.4,0.0,192.0,0.0,978.4,825.5,28,24.825667825826137,0.966767372,Low
427.5,47.5,0.0,228.0,0.0,932.0,594.0,270,43.01,0.533333333,Medium
190.0,190.0,0.0,228.0,0.0,932.0,670.0,90,38.34615902274287,1.2,Medium
304.0,76.0,0.0,228.0,0.0,932.0,670.0,28,35.62751867242736,0.75,High
380.0,0.0,0.0,228.0,0.0,932.0,670.0,90,44.43840283230354,0.6,High
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,90,37.71962206335422,1.375358166,Medium
342.0,38.0,0.0,228.0,0.0,932.0,670.0,365,56.14,0.666666667,High
380.0,95.0,0.0,228.0,0.0,932.0,594.0,90,46.8666010259572,0.6,Medium
475.0,0.0,0.0,228.0,0.0,932.0,594.0,180,42.62,0.48,Medium
427.5,47.5,0.0,228.0,0.0,932.0,594.0,180,41.84,0.533333333,Medium
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,28,24.1011130581661,1.375358166,Low
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,3,8.562000534198846,1.375358166,Low
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,180,44.21,1.375358166,Medium
380.0,0.0,0.0,228.0,0.0,932.0,670.0,365,52.52,0.6,High
380.0,0.0,0.0,228.0,0.0,932.0,670.0,270,53.3,0.6,High
380.0,95.0,0.0,228.0,0.0,932.0,594.0,270,41.15,0.6,Medium
342.0,38.0,0.0,228.0,0.0,932.0,670.0,180,52.12,0.666666667,High
427.5,47.5,0.0,228.0,0.0,932.0,594.0,28,39.522945424846526,0.533333333,Medium
475.0,0.0,0.0,228.0,0.0,932.0,594.0,7,31.71489346277772,0.48,Medium
304.0,76.0,0.0,228.0,0.0,932.0,670.0,365,55.26,0.75,High
266.0,114.0,0.0,228.0,0.0,932.0,670.0,365,52.91,0.857142857,High
198.6,132.4,0.0,192.0,0.0,978.4,825.5,180,41.72,0.966767372,Medium
475.0,0.0,0.0,228.0,0.0,932.0,594.0,270,42.13,0.48,Medium
190.0,190.0,0.0,228.0,0.0,932.0,670.0,365,53.69,1.2,High
237.5,237.5,0.0,228.0,0.0,932.0,594.0,270,38.41,0.96,Medium
237.5,237.5,0.0,228.0,0.0,932.0,594.0,28,31.1044866285266,0.96,Low
332.5,142.5,0.0,228.0,0.0,932.0,594.0,90,45.88854883641294,0.685714286,Medium
475.0,0.0,0.0,228.0,0.0,932.0,594.0,90,49.667751783101366,0.48,Medium
237.5,237.5,0.0,228.0,0.0,932.0,594.0,180,36.25,0.96,Medium
342.0,38.0,0.0,228.0,0.0,932.0,670.0,90,44.7577608465333,0.666666667,High
427.5,47.5,0.0,228.0,0.0,932.0,594.0,365,43.7,0.533333333,Medium
237.5,237.5,0.0,228.0,0.0,932.0,594.0,365,39.0,0.96,Medium
380.0,0.0,0.0,228.0,0.0,932.0,670.0,180,53.1,0.6,High
427.5,47.5,0.0,228.0,0.0,932.0,594.0,90,48.431405590584774,0.533333333,Medium
427.5,47.5,0.0,228.0,0.0,932.0,594.0,7,30.573083962165192,0.533333333,Medium
349.0,0.0,0.0,192.0,0.0,1047.0,806.9,3,14.536528946639127,0.550143266,Low
380.0,95.0,0.0,228.0,0.0,932.0,594.0,180,40.76,0.6,Medium
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,20.939700100208626,0.96,Low
380.0,95.0,0.0,228.0,0.0,932.0,594.0,7,27.753896086862,0.6,Medium
332.5,142.5,0.0,228.0,0.0,932.0,594.0,180,39.78,0.685714286,Medium
190.0,190.0,0.0,228.0,0.0,932.0,670.0,180,46.93,1.2,High
237.5,237.5,0.0,228.0,0.0,932.0,594.0,90,42.86390418791108,0.96,Medium
304.0,76.0,0.0,228.0,0.0,932.0,670.0,90,45.06306038733324,0.75,High
139.6,209.4,0.0,192.0,0.0,1047.0,806.9,7,13.242742147314102,1.375358166,Low
