Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
102,153,0,192,0,887,942,1,
102,153,0,192,0,887,942,2,
102,153,0,192,0,887,942,3,4.57
102,153,0,192,0,887,942,4,
102,153,0,192,0,887,942,5,
102,153,0,192,0,887,942,6,
102,153,0,192,0,887,942,7,7.68
102,153,0,192,0,887,942,8,
102,153,0,192,0,887,942,9,
102,153,0,192,0,887,942,10,
102,153,0,192,0,887,942,11,
102,153,0,192,0,887,942,12,
102,153,0,192,0,887,942,13,
102,153,0,192,0,887,942,14,
102,153,0,192,0,887,942,15,
102,153,0,192,0,887,942,16,
102,153,0,192,0,887,942,17,
102,153,0,192,0,887,942,18,
102,153,0,192,0,887,942,19,
102,153,0,192,0,887,942,20,
102,153,0,192,0,887,942,21,
102,153,0,192,0,887,942,22,
102,153,0,192,0,887,942,23,
102,153,0,192,0,887,942,24,
102,153,0,192,0,887,942,25,
102,153,0,192,0,887,942,26,
102,153,0,192,0,887,942,27,
102,153,0,192,0,887,942,28,17.28
102,153,0,192,0,887,942,29,
102,153,0,192,0,887,942,30,
102,153,0,192,0,887,942,31,
102,153,0,192,0,887,942,32,
102,153,0,192,0,887,942,33,
102,153,0,192,0,887,942,34,
102,153,0,192,0,887,942,35,
102,153,0,192,0,887,942,36,
102,153,0,192,0,887,942,37,
102,153,0,192,0,887,942,38,
102,153,0,192,0,887,942,39,
102,153,0,192,0,887,942,40,
102,153,0,192,0,887,942,41,
102,153,0,192,0,887,942,42,
102,153,0,192,0,887,942,43,
102,153,0,192,0,887,942,44,
102,153,0,192,0,887,942,45,
102,153,0,192,0,887,942,46,
102,153,0,192,0,887,942,47,
102,153,0,192,0,887,942,48,
102,153,0,192,0,887,942,49,
102,153,0,192,0,887,942,50,
102,153,0,192,0,887,942,51,
102,153,0,192,0,887,942,52,
102,153,0,192,0,887,942,53,
102,153,0,192,0,887,942,54,
102,153,0,192,0,887,942,55,
102,153,0,192,0,887,942,56,
102,153,0,192,0,887,942,57,
102,153,0,192,0,887,942,58,
102,153,0,192,0,887,942,59,
102,153,0,192,0,887,942,60,
102,153,0,192,0,887,942,61,
